7zip 26.03-1
docker-compose 5.5.1-1
dos2unix 7.5.7-1
dotnet-host 10.0.12.sdk112-1
dotnet-runtime 10.0.12.sdk112-1
dotnet-runtime-8.0 8.0.31.sdk131-1
dotnet-runtime-9.0 9.0.20.sdk121-1
dotnet-sdk 10.0.12.sdk112-1
dotnet-sdk-8.0 8.0.31.sdk131-1
dotnet-sdk-9.0 9.0.20.sdk121-1
dotnet-targeting-pack 10.0.12.sdk112-1
dotnet-targeting-pack-8.0 8.0.31.sdk131-1
dotnet-targeting-pack-9.0 9.0.20.sdk121-1
double-conversion 3.4.0-1
dtc 1:1.8.1-1
duktape 2.7.0-7
e2fsprogs 1.47.4-1
edk2-ovmf 202608-1
efibootmgr 18-4
efivar 39-2
electron39 39.8.10-2
electron43 43.7.3-1
elfutils 0.196-1
ell 0.83-1
enchant 2.8.21-1
exempi 2.6.6-3
exiv2 0.28.9-1
expat 2.8.4-1
fakeroot 1:1.37.2-3
fastfetch 2.68.1-1
fd 10.5.0-3
ffmpeg 2:9.0.1-4
ffmpeg4.4 4.4.8-5
fftw 3.3.11-1
file 5.48-1
filesystem 2025.10.12-1
findutils 4.11.0-1
firefox 156.0-1
flac 1.5.0-1
flatpak 1:1.18.2-1
flatpak-builder 1.4.12-1
flex 2.6.4-6
fmt 12.2.0-1
foliate 3.3.0-3
fontconfig 2:2.18.3-2
freeglut 3.8.0-1
freetype2 2.14.3-1
fribidi 1.0.16-2
fuse-common 3.18.3-1
fuse2 2.9.9-6
fuse3 3.18.3-1
fzf 0.74.4-1
gawk 5.4.1-1
gc 8.2.12-1
gcc 16.2.1+r23+gd564253eb6c8-1
gcc-libs 16.2.1+r23+gd564253eb6c8-1
gcr 3.41.2-2
gcr-4 4.4.1-1
gd 2.3.3-9
gdb 17.2-1
gdb-common 17.2-1
gdbm 1.26-2
gdk-pixbuf2 2.44.7-1
gettext 1.0-2
gfxstream 0.1.2-2
ghostscript 10.08.0-1
giflib 6.1.3-2
git 2.55.0-1
gjs 2:1.88.1-1
glib-networking 1:2.80.1-1
glib2 2.88.3-1
glibc 2.44+r24+g16be1518495f-1
glibmm 2.66.10-1
glibmm-2.68 2.88.1-1
glm 1.0.3-1
glslang 1:1.4.357.0-1
glu 9.0.3-3
glycin 2.1.5-2
gmp 6.3.0-3
gnome-keyring 1:50.0-1
gnu-free-fonts 20120503-9
gnulib-l10n 20241231-1
gnupg 2.4.9-3
gnutls 3.8.13-3
go 2:1.27.1-1
gobject-introspection-runtime 1.86.0-2
gperftools 2.18.1-1
gpgme 2.2.0-1
gpgmepp 2.2.0-1
gpm 1.20.7.r38.ge82d1a6-7
gpsd 3.27.5-1
graphene 1.10.8-2
graphite 1:1.3.15-1
grep 3.12-2
grim 1.5.0-2
groff 1.24.1-1
gsettings-desktop-schemas 50.1-1
gsettings-system-schemas 50.1-1
gsm 1.0.24-1
gssdp 1.6.6-1
gst-plugin-pipewire 1:1.6.8-1
gst-plugins-bad-libs 1.28.7-1
gst-plugins-base 1.28.7-1
gst-plugins-base-libs 1.28.7-1
gst-plugins-good 1.28.7-1
gst-plugins-ugly 1.28.7-1
gstreamer 1.28.7-1
gtest 1.18.0-1
gtk-layer-shell 0.10.1-1
gtk-update-icon-cache 1:4.22.5-1
gtk-vnc 1.5.0-1
gtk3 1:3.24.52-1
gtk4 1:4.22.5-1
gtkmm-4.0 4.22.0-2
gtkmm3 3.24.11-1
gtksourceview4 4.8.4-2
guile 3.0.11-1
gupnp 1:1.6.10-1
gupnp-igd 1.6.0-2
gvfs 1.60.3-3
gvfs-mtp 1.60.3-3
gzip 1.14-2
harfbuzz 14.5.0-1
harfbuzz-icu 14.5.0-1
hdf5 2.2.0-1
hdparm 9.65-3
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.4.0-1
hunspell 1.7.3-1
hwdata 0.411-1
hwloc 2.14.0-1
hyphen 2.8.9-1
iana-etc 20260617-1
icu 78.3-1
ijs 0.35-7
imagemagick 7.1.2.31-1
imath 3.2.3-1
imlib2 1.12.7-3
iniparser 4.3.0-1
intel-gmmlib 22.10.0-1
intel-media-driver 26.2.4-1
intel-ucode 20260812-1
iproute2 7.2.0-1
iptables 1:1.8.13-1
iputils 20250605-1
iso-codes 4.20.1-1
iw 6.17-1
iwd 3.12-2
jansson 2.15.1-1
java-environment-common 3-6
java-runtime-common 3-6
jbig2dec 0.20-2
jbigkit 2.1-8
jdk-openjdk 26.0.2.1.u1-1
jdk21-openjdk 21.0.12.1.u1-1
jemalloc 1:5.4.0-1
jq 1.8.2-1
js140 140.16.0-1
json-c 0.19-1
json-glib 1.10.8-1
jsoncpp 1.9.8-1
kbd 2.10.0-1
keyutils 1.6.3-4
kitty 0.48.2-1
kitty-shell-integration 0.48.2-1
kitty-terminfo 0.48.2-1
kmod 34.2-1
krb5 1.22.2-1
l-smash 2.14.5-4
lame 4.0-1
lapack 3.12.1-2
lazygit 0.65.1-1
lcms2 2.19.1-1
leancrypto 1.9.0-1
less 1:710-1
lib32-alsa-lib 1.2.16.1-1
lib32-alsa-plugins 1.2.12-1
lib32-brotli 1.2.0-2
lib32-bzip2 1.0.8-4
lib32-curl 8.22.0-1
lib32-dbus 1.16.2-1
lib32-e2fsprogs 1.47.4-1
lib32-expat 2.8.4-1
lib32-fontconfig 2:2.18.3-1
lib32-freetype2 2.14.3-1
lib32-gcc-libs 16.2.1+r23+gd564253eb6c8-1
lib32-glib2 2.88.3-1
lib32-glibc 2.44+r24+g16be1518495f-1
lib32-gmp 6.3.0-2
lib32-gnutls 3.8.13-3
lib32-icu 78.3-1
lib32-json-c 0.19-1
lib32-keyutils 1.6.3-4
lib32-krb5 1.22.2-1
lib32-libdisplay-info 0.3.0-1
lib32-libdrm 2.4.134-1
lib32-libelf 0.196-2
lib32-libffi 3.8.0-1
lib32-libgcrypt 1.12.4-1
lib32-libglvnd 1.7.0-1
lib32-libgpg-error 1.61-1
lib32-libidn2 2.3.8-1
lib32-libldap 2.7.1-1
lib32-libnghttp2 1.70.0-1
lib32-libnghttp3 1.18.0-1
lib32-libngtcp2 1.25.0-1
lib32-libnm 1.58.1-2
lib32-libpciaccess 0.19-1
lib32-libpipewire 1:1.6.8-1
lib32-libpng 1.6.58-2
lib32-libpsl 0.21.5-1
lib32-libssh2 1.11.1-5
lib32-libtasn1 4.21.0-1
lib32-libunistring 1.4.2-1
lib32-libva 2.24.1-1
lib32-libx11 1.8.13-1
lib32-libxau 1.0.12-1
lib32-libxcb 1.17.0-1
lib32-libxcrypt 4.5.2-1
lib32-libxcrypt-compat 4.5.2-1
lib32-libxdmcp 1.1.5-1
lib32-libxext 1.3.7-1
lib32-libxfixes 6.0.2-1
lib32-libxinerama 1.1.6-1
lib32-libxml2 2.15.4-1
lib32-libxshmfence 1.3.3-1
lib32-libxss 1.2.5-1
lib32-libxxf86vm 1.1.7-1
lib32-llvm-libs 1:22.1.8-1
lib32-lm_sensors 1:3.6.2-2
lib32-mesa 1:26.2.3-1
lib32-ncurses 6.6-2
lib32-nettle 4.0-2
lib32-nspr 4.40-1
lib32-nss 3.129-1
lib32-openssl 1:3.6.4-1
lib32-p11-kit 0.26.5-1
lib32-pcre2 10.48-1
lib32-pipewire 1:1.6.8-1
lib32-spirv-tools 1:1.4.357.0-1
lib32-sqlite 3.53.4-1
lib32-systemd 261.3-1
lib32-util-linux 2.42.3-1
lib32-vulkan-icd-loader 1.4.357.0-1
lib32-vulkan-intel 1:26.2.3-1
lib32-vulkan-mesa-implicit-layers 1:26.2.3-1
lib32-wayland 1.26.0-1
lib32-xcb-util-keysyms 0.4.1-2
lib32-xz 5.8.4-1
lib32-zlib 1.3.2-1
lib32-zstd 1.5.7-2
libabw 0.1.4-1
libadwaita 1:1.9.4-1
libaec 1.1.7-1
libaemu 0.1.2-5
libaio 0.3.113-5
libappindicator 12.10.1-2
libarchive 3.8.9-1
libasan 16.2.1+r23+gd564253eb6c8-1
libass 0.17.5-1
libassuan 3.0.0-1
libasyncns 1:0.8+r3+g68cd5af-3
libatasmart 0.19-8
libatomic 16.2.1+r23+gd564253eb6c8-1
libatomic_ops 7.8.2-2
libavc1394 0.5.4-7
libavif 1.4.2-1
libayatana-appindicator 0.6.0-2
libayatana-indicator 0.9.5-1
libb2 0.98.1-3
libblake3 1.8.7-1
libblockdev 3.5.0-2
libblockdev-crypto 3.5.0-2
libblockdev-fs 3.5.0-2
libblockdev-loop 3.5.0-2
libblockdev-mdraid 3.5.0-2
libblockdev-nvme 3.5.0-2
libblockdev-part 3.5.0-2
libblockdev-smart 3.5.0-2
libblockdev-swap 3.5.0-2
libbluray 1.5.1-1
libbpf 1.7.0-1
libbs2b 3.1.0-10
libbsd 0.12.2-2
libburn 1.5.8-1
libbytesize 2.12-3
libcaca 0.99.beta20-7
libcacard 2.8.1-1
libcanberra 1:0.30+r2+gc0620e4-6
libcap 2.78-1
libcap-ng 0.9.6-1
libcbor 0.14.0-1
libcdio 2.4.0-1
libcdio-paranoia 10.2+2.0.2-3
libcdr 0.1.9-1
libcgif 0.5.4-1
libcloudproviders 0.4.1-1
libcmis 0.6.3-2
libcolord 1.4.8-1
libcups 2:2.4.19-1
libcupsfilters 2.2.1-2
libcurl-gnutls 8.22.0-1
libdaemon 0.14-6
libdatachannel 0.24.5-2
libdatrie 0.2.14-1
libdbusmenu-glib 18.10.20180917-2
libdbusmenu-gtk3 18.10.20180917-2
libdc1394 2.2.7-2
libde265 1.1.3-1
libdecor 0.2.5-1
libdeflate 1.26-1
libdisplay-info 0.3.0-1
libdovi 3.4.0-1
libdrm 2.4.134-1
libdv 1.0.0-12
libdvdnav 7.0.0-1
libdvdread 7.1.1-1
libe-book 0.1.4-1
libebur128 1.2.6-2
libedit 20260512_3.1-1
libei 1.6.0-1
libelf 0.196-1
libepoxy 1.5.10-3
libepubgen 0.1.1-6
libetonyek 0.1.13-3
libevdev 1.13.7-1
libevent 2.1.13-2
libexif 0.6.26-1
libexttextcat 3.4.8-1
libfdk-aac 2.0.3-2
libffi 3.8.0-1
libfontenc 1.1.9-1
libfreeaptx 0.2.2-1
libfreehand 0.1.4-1
libfyaml 0.9.6-3
libgcc 16.2.1+r23+gd564253eb6c8-1
libgcrypt 1.12.4-1
libgee 0.20.8-1
libgfortran 16.2.1+r23+gd564253eb6c8-1
libgirepository 1.86.0-2
libgit2 1:1.9.7-1
libglvnd 1.7.0-3
libgnomekbd 1:3.28.1-2
libgomp 16.2.1+r23+gd564253eb6c8-1
libgpg-error 1.61-1
libgudev 238-3
libheif 1.23.4-1
libhwasan 16.2.1+r23+gd564253eb6c8-1
libice 1.1.2-1
libidn 1.44-1
libidn2 2.3.8-1
libiec61883 1.2.0-9
libimagequant 4.4.1-2
libimobiledevice 1.4.0-2
libimobiledevice-glue 1.3.2-1
libinih 62-2
libinput 1.32.0-1
libisl 0.28-1
libisoburn 1.5.8.2-1
libisofs 1.5.8.2-1
libixion 0.20.0-9
libjpeg-turbo 3.2.0-2
libjuice 1.7.3-1
libjxl 0.12.0-1
libksba 1.8.1-1
liblangtag 0.6.8-1
liblc3 1.1.3-2
libldac 2.0.2.6-1
libldap 2.7.1-1
libliftoff 0.5.0-1
liblqr 0.4.3-1
liblsan 16.2.1+r23+gd564253eb6c8-1
libluv 1.52.1-1
libmakepkg-dropins 20-2
libmalcontent 0.14.0-4
libmanette 0.2.13-2
libmatio 1.5.30-1
libmd 1.2.0-1
libmfx 23.2.2-6
libmm-glib 1.24.2-1
libmnl 1.0.5-2
libmodplug 0.8.9.0-7
libmpc 1.4.1-1
libmpdclient 2.27-1
libmpeg2 0.5.1-11
libmspub 0.1.5-1
libmtp 1.1.23-1
libmwaw 0.3.23-1
libmysofa 1.3.5-1
libnbd 1.24.3-1
libndp 1.9-1
libnet 2:1.3-2
libnetfilter_conntrack 1.1.1-1
libnewt 0.52.25-2
libnfnetlink 1.0.2-2
libnfs 7.0.2-2
libnftnl 1.3.2-1
libnghttp2 1.70.0-1
libnghttp3 1.18.0-1
libngtcp2 1.25.0-1
libnice 0.1.24-1
libnl 3.12.0-1
libnm 1.58.1-1
libnma 1.10.6-3
libnma-common 1.10.6-3
libnotify 0.8.8-1
libnsl 2.0.1-2
libntfs-3g 2026.7.7-1
libnumbertext 1.0.11-3
libnvme 1.16.2-2
libobjc 16.2.1+r23+gd564253eb6c8-1
libodfgen 0.1.8-5
libogg 1.3.6-1
libopenmpt 0.8.9-1
liborcus 0.21.0-8
libosinfo 1.12.0-3
libp11-kit 0.26.5-1
libpagemaker 0.0.4-5
libpaper 2.2.8-1
libpathrs 0.2.6-1
libpcap 1.11.0-1
libpciaccess 0.19-1
libpgm 5.3.128-4
libpipeline 1.5.8-1
libpipewire 1:1.6.8-1
libplacebo 7.360.1-6
libplist 2.7.0-3
libpng 1.6.58-2
libppd 2.1.1-2
libproxy 0.5.12-1
libpsl 0.21.5-2
libpulse 17.0+r98+gb096704c0-1
libquadmath 16.2.1+r23+gd564253eb6c8-1
libqxp 0.0.3-1
libraqm 0.11.0-1
libraw 0.22.2-1
libraw1394 2.1.2-4
libreoffice-fresh 26.8.0-2
librevenge 0.0.6-1
librewolf 156.0.0_1-1
librsvg 2:2.62.3-1
librsync 1:2.3.4-2
libsamplerate 0.2.2-3
libsasl 2.1.28-5
libseccomp 2.6.0-1
libsecret 0.21.8.2-1
libshout 1:2.4.6-5
libsigc++ 2.12.2-1
libsigc++-3.0 3.8.1-1
libsixel 1.10.5-1
libslirp 4.9.4-1
libsm 1.2.6-1
libsndfile 1.2.2-4
libsodium 1.0.22-1
libsoup3 3.6.6-2
libsoxr 0.1.3-5
libsrtp 1:2.8.0-1
libssh 0.12.2-1
libssh2 1.11.1-7
libstaroffice 0.0.8-1
libstdc++ 16.2.1+r23+gd564253eb6c8-1
libstemmer 3.1.1-1
libsysprof-capture 50.0-6
libtasn1 4.21.0-1
libtatsu 1.0.5-1
libteam 1.32-3
libthai 0.1.30-1
libtheora 1.2.0-1
libtiff 4.7.2-1
libtirpc 1.3.8-1
libtommath 1.3.0-2
libtool 2.6.2-5
libtorrent-rasterbar 1:2.1.1-2
libtraceevent 1:1.9.0-1
libtracefs 1.8.3-1
libtsan 16.2.1+r23+gd564253eb6c8-1
libubsan 16.2.1+r23+gd564253eb6c8-1
libunibreak 7.0-1
libunistring 1.4.2-1
libunwind 1.8.3-1
liburing 2.15-1
libusb 1.0.30-1
libusbmuxd 2.1.1-2
libutempter 1.2.3-1
libutf8proc 2.11.3-1
libuv 1.52.1-2
libva 2.24.1-1
libva-intel-driver 2.4.5-1
libvdpau 1.5-4
libverto 0.3.2-6
libvips 8.18.6-1
libvirt 1:12.7.0-1
libvirt-glib 5.0.0-3
libvirt-python 1:12.7.0-1
libvisio 0.1.11-1
libvorbis 1.3.7-4
libvpl 2.17.0-1
libvpx 1.17.0-1
libvterm 0.3.3-2
libwacom 2.20.0-1
libwebp 1.6.0-2
libwireplumber 0.5.17-1
libwpd 0.10.3-6
libwps 0.4.14-4
libx11 1.8.13-1
libxau 1.0.12-1
libxcb 1.17.0-1
libxcomposite 0.4.7-1
libxcrypt 4.5.2-1
libxcrypt-compat 4.5.2-1
libxcursor 1.2.3-1
libxcvt 0.1.3-1
libxdamage 1.1.7-1
libxdmcp 1.1.5-2
libxdp 1.6.3-2
libxext 1.3.7-1
libxfixes 6.0.2-1
libxfont2 2.0.9-1
libxft 2.3.9-1
libxi 1.8.3-1
libxinerama 1.1.6-1
libxkbcommon 1.13.2-1
libxkbcommon-x11 1.13.2-1
libxkbfile 1.2.0-1
libxklavier 5.4-7
libxml2 2.15.4-1
libxmlb 0.3.29-1
libxmu 1.3.1-1
libxpm 3.5.19-1
libxpresent 1.0.2-1
libxrandr 1.5.5-1
libxrender 0.9.12-1
libxshmfence 1.3.3-1
libxslt 1.1.45-2
libxss 1.2.5-1
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxxf86vm 1.1.7-1
libyaml 0.2.5-3
libyuv r2921+644251f25-1
libzip 1.11.4-1
libzmf 0.0.2-20
licenses 20240728-1
lightdm 1:1.33.1-1
lightdm-gtk-greeter 1:2.0.9-2
lilv 0.28.0-1
linux 7.2.6.arch2-1
linux-api-headers 7.2-1
linux-firmware 20260916-1
linux-firmware-amd 20260916-1
linux-firmware-amdgpu 20260916-1
linux-firmware-atheros 20260916-1
linux-firmware-broadcom 20260916-1
linux-firmware-cirrus 20260916-1
linux-firmware-intel 20260916-1
linux-firmware-mediatek 20260916-1
linux-firmware-nvidia 20260916-1
linux-firmware-other 20260916-1
linux-firmware-radeon 20260916-1
linux-firmware-realtek 20260916-1
linux-firmware-ti 20260916-1
linux-firmware-whence 20260916-1
linux-lts 6.18.52-1
lld 22.1.8-1
llhttp 9.3.1-1
llvm-libs 22.1.8-2
lm_sensors 1:3.6.2-1
lmdb 0.9.35-1
lpsolve 5.5.2.14-1
lsb-release 2.0.r55.a25a4fc-1
lshw B.02.20-3
lsof 4.99.7-1
lua 5.5.1-1
lua-luarocks 3.13.0-5
lua51-lpeg 1.1.0-5
lua54 5.4.9-1
luajit 2.1.1788856981+c6ffc14-1
luarocks 3.13.0-5
lv2 1.18.10-2
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.21-2
mailcap 2.1.54-3
make 4.4.1-3
mako 1.11.0-1
man-db 2.13.1-2
mariadb 13.0.2-1
mariadb-clients 13.0.2-1
mariadb-libs 13.0.2-1
mbedtls 4.2.0-1
mbedtls3 3.6.7-1
md4c 0.5.3-1
mdadm 4.6-2
mesa 1:26.2.3-1
meson 1.12.0-1
minizip 1:1.3.2-3
mkinitcpio 42-1
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20251101-1
mpdecimal 4.0.1-3
mpfr 4.2.2-1
mpg123 1.33.7-1
mpv 1:0.41.0-6
msgpack-c 7.0.1-1
mtdev 1.1.7-1
mujs 1.3.10-1
nano 9.2-1
ncdu 2.9.2-1
ncurses 6.6-2
ndctl 85-1
nemo 6.6.4-1
neon 0.37.1-1
neovim 0.12.5-1
netstandard-targeting-pack 1:2.1.0-2
nettle 4.0-1
network-manager-applet 1.36.0-2
networkmanager 1.58.1-1
nftables 1:1.1.7-3
ninja 1.13.2-3
nm-connection-editor 1.36.0-2
node-gyp 13.0.2-1
nodejs 26.9.0-1
nodejs-nopt 10.0.1-1
noto-fonts 1:2026.09.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
npm 12.0.2-1
npth 1.8-1
nspr 4.40-1
nss 3.129-1
ntfs-3g 2026.7.7-1
numactl 2.0.19-1
nvm 0.40.7-1
obs-studio 32.2.2-1
obsidian 1.13.7-2
ocl-icd 2.3.5-1
onetbb 2023.1.0-1
oniguruma 6.9.10-1
openal 1.25.2-2
opencore-amr 0.1.6-2
opencv 5.0.0-11
openexr 3.4.15-1
openh264 2.6.0-2
openjpeg2 2.5.4-1
openjph 0.31.0-1
openssh 10.5p1-1
openssl 3.6.4-1
opus 1.6.1-1
orc 0.4.44-1
osinfo-db 20260812-1
ostree 2026.4-1
p11-kit 0.26.5-1
pacman 7.1.0.r9.g54d9411-2
pacman-mirrorlist 20260610-1
pam 1.7.2-2
pambase 20260616-1
pango 1:1.58.2-1
pangomm 2.46.5-1
pangomm-2.48 2.56.2-1
parted 3.7-1
patch 2.8-1
pavucontrol 1:6.2-1
pciutils 3.15.0-1
pcre 8.45-5
pcre2 10.48-1
pcsclite 2.5.1-1
pdfio 1.6.5-1
perl 5.42.2-2
perl-error 0.17030-3
perl-mailtools 2.22-3
perl-timedate 2.35-1
phodav 3.0-4
php 8.5.10-1
php-gd 8.5.10-1
php-pgsql 8.5.10-1
php-sqlite 8.5.10-1
pinentry 1.3.3-1
pipewire 1:1.6.8-1
pipewire-alsa 1:1.6.8-1
pipewire-audio 1:1.6.8-1
pipewire-jack 1:1.6.8-1
pipewire-pulse 1:1.6.8-1
pixman 0.46.4-1
pkgconf 3.0.7-1
playerctl 2.4.1-5
pnpm 11.26.0-1
polkit 127-3
poppler 26.08.0-1
poppler-data 0.4.12-2
popt 1.19-2
portaudio 1:19.7.0-4
postgresql 18.6-1
postgresql-libs 18.6-1
pps-tools 1.0.3-2
procps-ng 4.0.7-1
protobuf 36.1-1
psmisc 23.7-2
python 3.14.7-1
python-attrs 26.1.0-1
python-autocommand 2.2.2-9
python-cairo 1.29.1-1
python-certifi 2026.07.22-1
python-cffi 2.1.1-1
python-charset-normalizer 3.5.1-1
python-click 8.3.3-1
python-configobj 5.0.9-6
python-cryptography 50.0.1-1
python-dulwich 1.2.14-1
python-fastbencode 0.3.11-1
python-filelock 3.31.2-1
python-gobject 3.56.3-1
python-idna 3.20-1
python-jaraco.collections 5.1.0-3
python-jaraco.context 6.1.2-1
python-jaraco.functools 4.1.0-3
python-jaraco.text 4.0.0-4
python-linkify-it-py 2.2.0-1
python-markdown-it-py 4.2.0-1
python-mdit_py_plugins 0.6.1-1
python-mdurl 0.1.2-9
python-merge3 0.0.16-2
python-more-itertools 11.1.0-1
python-packaging 26.3-1
python-patiencediff 0.2.19-1
python-pip 26.2.1-1
python-platformdirs 4.11.11-1
python-pycparser 3.00-1
python-pygments 2.21.0-1
python-requests 2.34.2-1
python-rich 15.0.0-1
python-setproctitle 1.3.7-2
python-setuptools 1:84.0.0-1
python-textual 8.2.8-2
python-tqdm 4.70.1-1
python-typing_extensions 4.16.0-1
python-uc-micro-py 2.0.0-1
python-urllib3 2.7.0-1
python-wheel 0.48.0-1
python-yaml 6.0.3-2
qbittorrent 5.2.3-3
qcustomplot 2.1.1-2
qemu-audio-alsa 11.1.1-4
qemu-audio-dbus 11.1.1-4
qemu-audio-jack 11.1.1-4
qemu-audio-oss 11.1.1-4
qemu-audio-pa 11.1.1-4
qemu-audio-pipewire 11.1.1-4
qemu-audio-sdl 11.1.1-4
qemu-audio-spice 11.1.1-4
qemu-base 11.1.1-4
qemu-block-curl 11.1.1-4
qemu-block-dmg 11.1.1-4
qemu-block-nfs 11.1.1-4
qemu-block-ssh 11.1.1-4
qemu-chardev-spice 11.1.1-4
qemu-common 11.1.1-4
qemu-desktop 11.1.1-4
qemu-hw-display-qxl 11.1.1-4
qemu-hw-display-virtio-gpu 11.1.1-4
qemu-hw-display-virtio-gpu-gl 11.1.1-4
qemu-hw-display-virtio-gpu-pci 11.1.1-4
qemu-hw-display-virtio-gpu-pci-gl 11.1.1-4
qemu-hw-display-virtio-gpu-pci-rutabaga 11.1.1-4
qemu-hw-display-virtio-gpu-rutabaga 11.1.1-4
qemu-hw-display-virtio-vga 11.1.1-4
qemu-hw-display-virtio-vga-gl 11.1.1-4
qemu-hw-display-virtio-vga-rutabaga 11.1.1-4
qemu-hw-uefi-vars 11.1.1-4
qemu-hw-usb-host 11.1.1-4
qemu-hw-usb-redirect 11.1.1-4
qemu-hw-usb-smartcard 11.1.1-4
qemu-img 11.1.1-4
qemu-system-x86 11.1.1-4
qemu-system-x86-firmware 11.1.1-4
qemu-ui-curses 11.1.1-4
qemu-ui-dbus 11.1.1-4
qemu-ui-egl-headless 11.1.1-4
qemu-ui-gtk 11.1.1-4
qemu-ui-opengl 11.1.1-4
qemu-ui-sdl 11.1.1-4
qemu-ui-spice-app 11.1.1-4
qemu-ui-spice-core 11.1.1-4
qemu-vhost-user-gpu 11.1.1-4
qhexedit2 0.8.9-2
qpdf 12.4.1-1
qrcodegencpp-cmake 1.8.0-4
qscintilla-qt5 2.14.1-6
qt5-base 5.15.19+kde+r96-1
qt5-svg 5.15.19+kde+r5-1
qt5-tools 5.15.19+kde+r3-1
qt5-translations 5.15.19-1
qt6-base 6.11.2-3
qt6-declarative 6.11.2-2
qt6-svg 6.11.2-1
qt6-translations 6.11.2-1
qt6-wayland 6.11.2-1
raptor 2.0.16-9
rasqal 1:0.9.33-9
rav1e 0.8.1-3
rdma-core 65.0-1
readline 8.3.6-1
redland 1:1.0.17-10
reflector 2023-5
rhash 1.4.6-1
ripgrep 15.2.0-1
rnnoise 1:0.2-1
rofi 2.0.0-1
rpmextract 1.0-11
rsync 3.5.0-1
rtkit 0.14-1
rubberband 4.0.0-2
ruby 3.4.10-1
rubygems 3.6.9-1
run-parts 5.24-1
runc 1.5.1-1
rust 1:1.98.1-1
rutabaga-ffi 0.1.85-1
sbc 2.2-1
scdoc 1.11.5-1
sdl2-compat 2.32.72-1
sdl2_image 2.8.12-2
sdl3 3.4.16-1
seabios 1.17.0-2
seatd 0.9.3-1
sed 4.10-2
semver 7.8.5-1
serd 0.32.10-1
shaderc 2026.3-1
shadow 4.20.0.arch1-1
shared-mime-info 2.5.1-2
simde 0.8.2-1
simdjson 1:4.6.11-1
slang 2.3.3-4
slurp 1.5.0-2
smartmontools 7.5-1
snappy 1.2.2-3
sndio 1.10.0-1
socat 1.8.1.3-1
sof-firmware 2025.12.2-1
sord 0.16.22-1
sound-theme-freedesktop 0.8-6
source-highlight 3.1.9-19
spandsp 0.0.6-7
spdlog 1.17.0-2
speedcrunch 0.12.0-5
speex 1.2.1-2
speexdsp 1.2.1-2
